Year_Week,Avg_Price
2019-00,33.5
2019-01,35.21
2019-02,36.5
2019-03,35.07
2019-04,31.93
2019-05,30.5
2019-06,35.64
2019-07,36.5
2019-08,36.5
2019-09,36.5
2019-10,36.5
2019-11,36.5
2019-12,34.36
2019-13,33.5
2019-14,32.07
2019-15,29.36
2019-16,28.5
2019-17,27.07
2019-18,26.5
2019-19,26.5
2019-20,26.5
2019-21,26.5
2019-22,25.07
2019-23,23.07
2019-24,22.5
2019-25,22.5
2019-26,21.07
2019-27,20.5
2019-28,21.79
2019-29,24.64
2019-30,25.5
2019-31,26.64
2019-32,27.5
2019-33,27.5
2019-34,27.5
2019-35,27.5
2019-36,27.5
2019-37,26.64
2019-38,27.5
2019-39,27.5
2019-40,25.36
2019-41,24.5
2019-42,24.5
2019-43,25.64
2019-44,26.5
2019-45,27.64
2019-46,28.5
2019-47,28.5
2019-48,27.07
2019-49,28.21
2019-50,29.5
2019-51,28.07
2019-52,27.5
